n_cal,mean_width,mean_sd_mid_across_resamples,corr_width_vs_sd_mid,corr_width_vs_abs_error,brier_vs_true_distribution
50,0.07142857142857144,0.12173514054883429,,,0.2500755555555556
100,0.15640985874475846,0.11314817537019271,0.9126883391604025,-0.1777206451526829,0.12362813729965984
250,0.1045048565120953,0.11178552336028955,0.8603285007341398,-0.24560221603101276,0.12340106819524418
500,0.06577702357739738,0.09896182987466301,0.7801528554537281,-0.24356553165089787,0.11972118380553308
1000,0.04225242214603145,0.0773963285909477,0.8519553690841334,-0.4283251809787083,0.11965842447250247
2000,0.026066945972899398,0.05864937652534655,0.8779329225801006,0.01235980765258617,0.11606679647446139
