x_test,p_true,ambiguity,va_mid,va_p0,va_p1,va_width,base_prob,knn_dist,eps_counts,inv_eps_count,abs_error
-2.0,0.10000491533968178,0.18000786449516973,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.07139809117261425,0.0019372931953501732,85.0,0.011627906976744186,0.049527794940692066
-1.9949937421777222,0.10000506522329208,0.18000810430595435,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.07139809117261425,0.0019372931953501732,85.0,0.011627906976744186,0.049527645057081765
-1.9899874843554444,0.10000521967727828,0.1800083514291552,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.07139809117261425,0.0019372931953501732,85.0,0.011627906976744186,0.04952749060309557
-1.9849812265331666,0.10000537884100227,0.18000860608773978,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.07139809117261425,0.0019372931953501732,85.0,0.011627906976744186,0.049527331439371575
-1.9799749687108885,0.10000554285807525,0.18000886851147385,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.0538652702439173,0.008702150423150694,65.0,0.015151515151515152,0.049527167422298596
-1.9749687108886107,0.1000057118764874,0.18000913893712875,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.0538652702439173,0.008702150423150694,65.0,0.015151515151515152,0.049526998403886455
-1.9699624530663329,0.1000058860487413,0.18000941760869496,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.0538652702439173,0.008702150423150694,65.0,0.015151515151515152,0.049526824231632544
-1.964956195244055,0.10000606553198961,0.180009704777602,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.0538652702439173,0.008702150423150694,65.0,0.015151515151515152,0.04952664474838424
-1.9599499374217773,0.10000625048817675,0.1800100007029456,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.2627581262382852,0.034426049686445304,5.0,0.16666666666666666,0.049526459792197094
-1.9549436795994994,0.10000644108418508,0.180010305651721,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.2627581262382852,0.034426049686445304,5.0,0.16666666666666666,0.04952626919618877
-1.9499374217772216,0.10000663749198535,0.18001061989906397,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.2627581262382852,0.034426049686445304,5.0,0.16666666666666666,0.0495260727883885
-1.9449311639549436,0.10000683988879201,0.18001094372849907,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.2627581262382852,0.034426049686445304,5.0,0.16666666666666666,0.049525870391581836
-1.9399249061326658,0.1000070484572229,0.18001127743219514,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.07986447607210158,0.00493477241044285,85.0,0.011627906976744186,0.04952566182315095
-1.934918648310388,0.10000726338546412,0.18001162131122905,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.07986447607210158,0.00493477241044285,85.0,0.011627906976744186,0.04952544689490973
-1.9299123904881101,0.10000748486743975,0.18001197567585714,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.07986447607210158,0.00493477241044285,85.0,0.011627906976744186,0.049525225412934096
-1.9249061326658323,0.10000771310298681,0.18001234084579498,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.12145369695519956,0.004243766567601087,32.0,0.030303030303030304,0.04952499717738704
-1.9198998748435545,0.10000794829803554,0.18001271715050599,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.12145369695519956,0.004243766567601087,32.0,0.030303030303030304,0.04952476198233831
-1.9148936170212767,0.10000819066479515,0.18001310492949826,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.12145369695519956,0.004243766567601087,32.0,0.030303030303030304,0.0495245196155787
-1.9098873591989987,0.10000844042194527,0.180013504532631,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.12145369695519956,0.004243766567601087,32.0,0.030303030303030304,0.049524269858428574
-1.9048811013767208,0.10000869779483323,0.1800139163204299,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.1682978797096432,0.0064320556073614865,17.0,0.05555555555555555,0.049524012485540614
-1.899874843554443,0.10000896301567734,0.18001434066441246,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.1682978797096432,0.0064320556073614865,17.0,0.05555555555555555,0.04952374726469651
-1.8948685857321652,0.10000923632377637,0.18001477794742285,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.1682978797096432,0.0064320556073614865,17.0,0.05555555555555555,0.04952347395659748
-1.8898623279098874,0.10000951796572541,0.1800152285639773,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.09520078628435395,0.0042229558859461225,49.0,0.02,0.04952319231464844
-1.8848560700876096,0.10000980819563832,0.1800156929206199,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.09520078628435395,0.0042229558859461225,49.0,0.02,0.04952290208473553
-1.8798498122653315,0.10001010727537697,0.18001617143628912,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.10987110150014517,0.014670315215791221,49.0,0.02,0.049522603004996876
-1.8748435544430537,0.10001041547478746,0.18001666454269571,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.10987110150014517,0.014670315215791221,49.0,0.02,0.049522294805586384
-1.869837296620776,0.1000107330719435,0.18001717268471193,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.11453276373369037,0.011164699789110277,32.0,0.030303030303030304,0.04952197720843035
-1.864831038798498,0.10001106035339728,0.18001769632077283,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.11453276373369037,0.011164699789110277,32.0,0.030303030303030304,0.049521649926976566
-1.8598247809762203,0.10001139761443795,0.1800182359232895,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.11453276373369037,0.011164699789110277,32.0,0.030303030303030304,0.0495213126659359
-1.8548185231539425,0.10001174515935793,0.18001879197907514,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.06254299094427439,0.008677720700357085,69.0,0.014285714285714285,0.04952096512101592
-1.8498122653316647,0.10001210330172747,0.1800193649897841,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.06254299094427439,0.008677720700357085,69.0,0.014285714285714285,0.04952060697864638
-1.8448060075093866,0.1000124723646774,0.1800199554723641,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.11624319084404233,0.009454272678758313,35.0,0.027777777777777776,0.049520237915696444
-1.8397997496871088,0.10001285268119067,0.18002056395952226,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.11624319084404233,0.009454272678758313,35.0,0.027777777777777776,0.049519857599183176
-1.834793491864831,0.10001324459440268,0.18002119100020575,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.11624319084404233,0.009454272678758313,35.0,0.027777777777777776,0.04951946568597117
-1.8297872340425532,0.10001364845791075,0.1800218371600964,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.10896813596890358,0.013767349684549623,49.0,0.02,0.0495190618224631
-1.8247809762202754,0.10001406463609305,0.1800225030221209,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.10896813596890358,0.013767349684549623,49.0,0.02,0.049518645644280795
-1.8197747183979975,0.10001449350443732,0.18002318918697635,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.10896813596890358,0.013767349684549623,49.0,0.02,0.04951821677593653
-1.8147684605757197,0.10001493544987947,0.18002389627367182,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.10896813596890358,0.013767349684549623,49.0,0.02,0.04951777483049438
-1.8097622027534417,0.10001539087115259,0.1800246249200863,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.08600484677422841,0.0022577996365391456,82.0,0.012048192771084338,0.04951731940922126
-1.8047559449311639,0.10001586017914663,0.18002537578354402,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.08600484677422841,0.0022577996365391456,82.0,0.012048192771084338,0.04951685010122722
-1.799749687108886,0.10001634379727889,0.1800261495414068,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.08600484677422841,0.0022577996365391456,82.0,0.012048192771084338,0.04951636648309496
-1.7947434292866082,0.10001684216187597,0.1800269468916847,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.08600484677422841,0.0022577996365391456,82.0,0.012048192771084338,0.04951586811849788
-1.7897371714643304,0.10001735572256724,0.1800277685536654,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.08600484677422841,0.0022577996365391456,82.0,0.012048192771084338,0.049515354557806604
-1.7847309136420526,0.10001788494269045,0.18002861526856237,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.08600484677422841,0.0022577996365391456,82.0,0.012048192771084338,0.049514825337683394
-1.7797246558197748,0.10001843029970944,0.1800294878001832,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.08600484677422841,0.0022577996365391456,82.0,0.012048192771084338,0.049514279980664405
-1.7747183979974968,0.10001899228564486,0.18003038693561796,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.102361329560822,0.009016645065327372,49.0,0.02,0.04951371799472899
-1.769712140175219,0.10001957140751781,0.1800313134859485,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.102361329560822,0.009016645065327372,49.0,0.02,0.049513138872856036
-1.7647058823529411,0.10002016818780719,0.1800322682869799,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.102361329560822,0.009016645065327372,49.0,0.02,0.049512542092566655
-1.7596996245306633,0.10002078316492073,0.1800332521999933,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.12529434571501127,0.00040311780778937156,31.0,0.03125,0.04951192711545312
-1.7546933667083855,0.10002141689368063,0.18003426611252235,0.14953271028037385,0.125,0.15384615384615385,0.028846153846153855,0.12529434571501127,0.00040311780778937156,31.0,0.03125,0.04951129338669322
