n_cal,x_test,p_true,ambiguity,mean_mid,sd_mid_across_resamples,mean_width,abs_error
50,-2.0,0.10000491533968178,0.18000786449516973,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916617513269848
50,-1.993322203672788,0.10000511627885789,0.18000818599381999,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39166155038780864
50,-1.986644407345576,0.1000053254323765,0.18000852063508194,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39166134123429003
50,-1.979966611018364,0.10000554313603331,0.18000886895620058,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916611235306332
50,-1.973288814691152,0.10000576973935066,0.1800092315163813,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39166089692731587
50,-1.9666110183639398,0.10000600560613866,0.18000960889768725,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916606610605279
50,-1.9599332220367278,0.1000062511150792,0.18001000170597384,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916604155515873
50,-1.9532554257095158,0.10000650666033385,0.1800104105718609,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916601600063327
50,-1.9465776293823038,0.1000067726521766,0.18001083615174493,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916598940144899
50,-1.9398998330550918,0.10000704951765241,0.18001127912885245,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916596171490141
50,-1.9332220367278798,0.10000733770126276,0.1800117402143367,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916593289654038
50,-1.9265442404006679,0.10000763766567919,0.18001222014841883,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39165902900098737
50,-1.9198664440734559,0.10000794989248595,0.18001271970157592,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39165871677418057
50,-1.9131886477462436,0.10000827488295305,0.1800132396757775,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916583917837135
50,-1.9065108514190316,0.10000861315884088,0.18001378090577239,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916580535078257
50,-1.8998330550918197,0.10000896526323778,0.18001434426042856,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39165770140342876
50,-1.8931552587646077,0.10000933176143172,0.1800149306441272,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916573349052348
50,-1.8864774624373957,0.10000971324181766,0.18001554099821412,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39165695342484885
50,-1.8797996661101837,0.10001011031684207,0.1800161763025103,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39165655634982444
50,-1.8731218697829717,0.10001052362398587,0.18001683757688405,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39165614304268065
50,-1.8664440734557597,0.10001095382678771,0.1800175258828877,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916557128398788
50,-1.8597662771285477,0.10001140161590899,0.18001824232546068,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39165526505075754
50,-1.8530884808013355,0.10001186771024236,0.18001898805470268,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916547989564242
